# This is the updated mark sheet for 2024
s2606460,s2010171,s2362329,s2662349,s2895906,s2276425,s2172151,s2264158,s2721641,s2718736,s2589704,s2738085,s2277714,s2531865,s2578843,s2044283,s2772372,s2468512,s2202918,s2501919
0.98,0.65,0.84,0.77,0.59,0.77,0.81,0.43,0.64,0.86,0.78,0.83,0.82,0.49,0.68,0.88,0.65,0.91,0.77,0.79
33,0.00,0.16,0.30,0.21,0.19,0.51,0.29,0.49,0.36,0.41,0.43,0.97,0.03,0.46,0.46,0.40,0.31,0.33,0.14
0.39,1.00,0.85,0.49,0.75,0.43,0.67,0.70,0.33,0.51,0.66,0.50,0.61,0.35,0.63,1.00,0.67,0.70,0.29,0.61
0.57,0.75,0.72,0.49,0.54,0.38,0.90,0.62,0.79,0.46,0.66,0.72,0.72,0.63,0.96,0.39,0.69,1.00,0.58,0.59
0.44,0.59,0.33,0.43,0.58,0.51,0.74,0.76,0.72,0.57,0.41,0.90,0.39,0.49,0.81,0.22,0.19,0.86,0.38,0.40
0.70,1.00,0.83,0.81,0.74,0.79,0.99,0.68,0.93,0.91,1.00,1.00,0.81,0.94,1.00,0.72,1.00,0.52,0.62,1.00
0.55,1.00,0.64,0.53,0.76,0.82,0.18,0.82,0.71,0.32,0.71,0.92,0.33,0.00,0.60,1.00,0.50,0.67,0.63,0.70
0.24,0.11,0.34,0.11,0.38,0.44,0.29,0.13,0.75,0.34,0.38,0.40,0.25,0.31,0.72,0.24,0.73,0.05,0.43,0.42
0.91,0.67,0.77,0.51,0.95,0.80,0.93,0.56,0.60,1.00,0.76,0.55,0.69,0.69,0.69,0.95,0.93,1.00,0.59,0.76
0.79,0.96,1.00,1.00,1.00,0.66,0.65,1.00,0.64,0.83,0.89,0.75,0.90,0.84,0.86,0.68,0.72,1.00,0.53,0.82
0.56,0.66,0.32,0.71,0.49,0.71,0.28,0.64,0.69,0.58,0.75,0.86,0.22,0.67,0.60,0.47,0.94,0.59,0.69,0.72
0.66,0.56,0.72,0.16,0.46,0.71,0.59,0.86,0.67,0.75,0.56,0.96,0.61,0.57,0.64,0.44,0.21,0.53,0.99,0.83
0.67,0.59,0.39,0.23,0.55,0.40,0.75,0.42,0.37,0.56,0.39,0.51,0.55,0.45,0.14,0.32,0.85,0.43,0.49,0.38
1.00,0.84,0.45,0.89,0.94,0.88,0.84,1.00,0.72,1.00,0.96,0.88,0.59,0.97,1.00,1.00,0.54,1.00,1.00,0.57
0.91,0.51,0.67,0.61,0.48,0.48,0.43,0.51,0.55,0.22,0.37,0.60,0.38,0.92,0.72,1.00,0.61,0.52,0.86,0.59
